,Index,Name,Area,Review_Date,Rating_attribute,Rating(Out of 10),Review_Text,tokens,sentiment,compound_score,sentiment_category,positive_score,negative_score,neutral_score
10,10,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jun-23,"Great room, great sense of service",10.0,"- I felt safe.
- Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).
- Good location - near the metro and the karol bagh market without being completely in the congested streets (but the area still gets crowded during busy hours of the day making it difficult to even walk around the area which could be a bit overwhelming).
- Rooms : clean and spacious (we took a triple bed room), quiet. There is a lift for heavy luggage and/or staff is happy to help as well to bring your stuff to the room. - there is a separation between the ""showering space"" and the toilets (hallelujah! So you don't have to walk wet feet in the bathroom - this is a detail but luxury point which is pleasant) :) 
- wifi works well
- food facility is there - food is good","['-', 'I', 'felt', 'safe', '.', '-', 'Staff', 'has', 'been', 'pleasantly', 'and', 'quickly', 'responsive', 'before', 'we', 'came', 'at', 'the', 'hotel', 'as', 'much', 'as', 'during', 'the', 'stay', '.', 'Great', 'sense', 'of', 'service', 'and', 'you', 'get', 'what', ""'s"", 'shown/told', '(', 'which', 'to', 'be', 'honest', 'has', 'been', 'rarely', 'the', 'case', 'in', 'india', 'from', 'my', 'own', 'experience', ')', '.', '-', 'Good', 'location', '-', 'near', 'the', 'metro', 'and', 'the', 'karol', 'bagh', 'market', 'without', 'being', 'completely', 'in', 'the', 'congested', 'streets', '(', 'but', 'the', 'area', 'still', 'gets', 'crowded', 'during', 'busy', 'hours', 'of', 'the', 'day', 'making', 'it', 'difficult', 'to', 'even', 'walk', 'around', 'the', 'area', 'which', 'could', 'be', 'a', 'bit', 'overwhelming', ')', '.', '-', 'Rooms', ':', 'clean', 'and', 'spacious', '(', 'we', 'took', 'a', 'triple', 'bed', 'room', ')', ',', 'quiet', '.', 'There', 'is', 'a', 'lift', 'for', 'heavy', 'luggage', 'and/or', 'staff', 'is', 'happy', 'to', 'help', 'as', 'well', 'to', 'bring', 'your', 'stuff', 'to', 'the', 'room', '.', '-', 'there', 'is', 'a', 'separation', 'between', 'the', '``', 'showering', 'space', ""''"", 'and', 'the', 'toilets', '(', 'hallelujah', '!', 'So', 'you', 'do', ""n't"", 'have', 'to', 'walk', 'wet', 'feet', 'in', 'the', 'bathroom', '-', 'this', 'is', 'a', 'detail', 'but', 'luxury', 'point', 'which', 'is', 'pleasant', ')', ':', ')', '-', 'wifi', 'works', 'well', '-', 'food', 'facility', 'is', 'there', '-', 'food', 'is', 'good']","{'neg': 0.01, 'neu': 0.819, 'pos': 0.172, 'compound': 0.9751}",0.9751,Positive,0.172,0.01,0.819
11,11,Hotel Grand Park Inn,"Karol bagh, New Delhi",Aug-23,Its good property. Rooms are spacious and clean. Staff are very cooperative,8.0,It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,"['It', ""'s"", 'good', 'stay', '.', 'Staff', 'are', 'very', 'cooperative', '.', 'Good', 'cleaning', '.', 'Required', 'variety', 'in', 'breakfast', '.']","{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.7251}",0.7251,Positive,0.356,0.0,0.644
12,12,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jun-23,"Stay was nice. We, as seven member family enjoyed it.",8.0,"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.","['Breakfast', 'was', 'good', ',', 'but', 'we', 'could', ""n't"", 'take', 'it', 'every', 'day', 'as', 'we', 'were', 'out', '.', 'Food', 'other', 'than', 'bf', 'was', 'also', 'excellent', '&', 'tasty', '.', 'The', 'reception', '&', 'staff', 'are', 'also', 'very', 'helpful', 'and', 'cooperative', '.']","{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.903}",0.903,Positive,0.285,0.0,0.715
13,13,Hotel Grand Park Inn,"Karol bagh, New Delhi",May-23,"the staff was helpful, quick and responsive",7.0,the staff was good and accommodating,"['the', 'staff', 'was', 'good', 'and', 'accommodating']","{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Positive,0.367,0.0,0.633
14,14,Hotel Grand Park Inn,"Karol bagh, New Delhi",Jan-23,Very good,8.0,It was very comfortable,"['It', 'was', 'very', 'comfortable']","{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5563}",0.5563,Positive,0.545,0.0,0.455
15,15,Hotel Grand Park Inn,"Karol bagh, New Delhi",Dec-22,Pleasant,6.0,staff service was good,"['staff', 'service', 'was', 'good']","{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,Positive,0.492,0.0,0.508
16,16,Hotel Grand Park Inn,"Karol bagh, New Delhi",Nov-22,Good,7.0,The hotel staff is very good.,"['The', 'hotel', 'staff', 'is', 'very', 'good', '.']","{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4927}",0.4927,Positive,0.39,0.0,0.61
17,17,Hotel Grand Park Inn,"Karol bagh, New Delhi",Nov-22,Very good,8.0,cleanliness,['cleanliness'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
18,18,Hotel Grand Park Inn,"Karol bagh, New Delhi",Oct-22,Good Experience,8.0,Good Experience,"['Good', 'Experience']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive,0.744,0.0,0.256
19,19,Hotel Grand Park Inn,"Karol bagh, New Delhi",Oct-22,Very good,8.0,Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,"['Overall', 'good', 'with', 'good', 'helping', 'staff', '.', 'Immediately', 'response', 'when', 'need', '.', 'Hospitality', 'is', 'good', 'towards', 'the', 'visitors', '.']","{'neg': 0.0, 'neu': 0.524, 'pos': 0.476, 'compound': 0.872}",0.872,Positive,0.476,0.0,0.524
20,20,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-22,Exceptional,10.0,Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,"['Zunaid', 'was', 'very', 'helpful', 'with', 'service', '.', 'He', 'has', 'been', 'helpful', 'on', 'every', 'trip', 'and', 'stay', 'at', 'White', 'Klove', '.', 'Front', 'dest', 'Azar', 'is', 'also', 'very', 'professional', '.']","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.734}",0.734,Positive,0.212,0.0,0.788
21,21,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jul-23,Very good,8.0,It's just need little more cleaning in room,"['It', ""'s"", 'just', 'need', 'little', 'more', 'cleaning', 'in', 'room']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
22,22,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jul-23,Stay was good And comfortable.,7.0,Cleanliness and staff behaviour,"['Cleanliness', 'and', 'staff', 'behaviour']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
23,23,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Fab hotel,8.0,"Large room, comfortable bed, great room service. Large washroom, great shower","['Large', 'room', ',', 'comfortable', 'bed', ',', 'great', 'room', 'service', '.', 'Large', 'washroom', ',', 'great', 'shower']","{'neg': 0.0, 'neu': 0.41, 'pos': 0.59, 'compound': 0.91}",0.91,Positive,0.59,0.0,0.41
24,24,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Good,7.0,No fuss property. Staff was cooperative and ready to help.,"['No', 'fuss', 'property', '.', 'Staff', 'was', 'cooperative', 'and', 'ready', 'to', 'help', '.']","{'neg': 0.153, 'neu': 0.486, 'pos': 0.361, 'compound': 0.4588}",0.4588,Positive,0.361,0.153,0.486
25,25,FabHotel White Klove Paharganj,"Paharganj, New Delhi",Jun-23,Superb,9.0,"Normal room, but sheets and pillows had marks from previous guests on them. Unexceptable, they need to make sure to put in new sheets rather than use old ones that are marked. Other than that the stay was good tho, the staff were great and the food was really good","['Normal', 'room', ',', 'but', 'sheets', 'and', 'pillows', 'had', 'marks', 'from', 'previous', 'guests', 'on', 'them', '.', 'Unexceptable', ',', 'they', 'need', 'to', 'make', 'sure', 'to', 'put', 'in', 'new', 'sheets', 'rather', 'than', 'use', 'old', 'ones', 'that', 'are', 'marked', '.', 'Other', 'than', 'that', 'the', 'stay', 'was', 'good', 'tho', ',', 'the', 'staff', 'were', 'great', 'and', 'the', 'food', 'was', 'really', 'good']","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.9538}",0.9538,Positive,0.262,0.0,0.738
26,26,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Very good,8.0,Cleanliness and cordial relation maintained by staff,"['Cleanliness', 'and', 'cordial', 'relation', 'maintained', 'by', 'staff']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
27,27,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Very good,8.0,Very nice hotel and good service,"['Very', 'nice', 'hotel', 'and', 'good', 'service']","{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7178}",0.7178,Positive,0.6,0.0,0.4
28,28,FabHotel White Klove Paharganj,"Paharganj, New Delhi",May-23,Good,7.0,really well located for sightseeing. Paharganj is also quite an experience in itself.,"['really', 'well', 'located', 'for', 'sightseeing', '.', 'Paharganj', 'is', 'also', 'quite', 'an', 'experience', 'in', 'itself', '.']","{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.3384}",0.3384,Positive,0.166,0.0,0.834
30,30,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Dec-21,Feeling at home in Delhi!,10.0,"Mr. Sanjay ad shibu and his staff will made you feel at home with all their hospitality, sympathy and always trying to help you for everything you need from the stay at the hotel until tours, trains, buses, money changer, everything!!!","['Mr.', 'Sanjay', 'ad', 'shibu', 'and', 'his', 'staff', 'will', 'made', 'you', 'feel', 'at', 'home', 'with', 'all', 'their', 'hospitality', ',', 'sympathy', 'and', 'always', 'trying', 'to', 'help', 'you', 'for', 'everything', 'you', 'need', 'from', 'the', 'stay', 'at', 'the', 'hotel', 'until', 'tours', ',', 'trains', ',', 'buses', ',', 'money', 'changer', ',', 'everything', '!', '!', '!']","{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.7249}",0.7249,Positive,0.135,0.0,0.865
31,31,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Good room for good price,9.0,"Personals are good and help you if needed.
Not a lot of noise in our room.
AC working.","['Personals', 'are', 'good', 'and', 'help', 'you', 'if', 'needed', '.', 'Not', 'a', 'lot', 'of', 'noise', 'in', 'our', 'room', '.', 'AC', 'working', '.']","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6808}",0.6808,Positive,0.272,0.0,0.728
32,32,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Good to stay there,7.0,Everything there was excellent.,"['Everything', 'there', 'was', 'excellent', '.']","{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.5719}",0.5719,Positive,0.552,0.0,0.448
33,33,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Very good,8.0,"Very friendly and helpful staff, good value for money","['Very', 'friendly', 'and', 'helpful', 'staff', ',', 'good', 'value', 'for', 'money']","{'neg': 0.0, 'neu': 0.297, 'pos': 0.703, 'compound': 0.8969}",0.8969,Positive,0.703,0.0,0.297
34,34,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Aug-23,Recommendable!,9.0,The place was 10 minutes walking from metro station. The staff was great. Breakfast was for room service and its okay. The district seems dangerous but it was not a problem after the first day :) Kfc and Dominos is near. Best A/C that I saw in India.,"['The', 'place', 'was', '10', 'minutes', 'walking', 'from', 'metro', 'station', '.', 'The', 'staff', 'was', 'great', '.', 'Breakfast', 'was', 'for', 'room', 'service', 'and', 'its', 'okay', '.', 'The', 'district', 'seems', 'dangerous', 'but', 'it', 'was', 'not', 'a', 'problem', 'after', 'the', 'first', 'day', ':', ')', 'Kfc', 'and', 'Dominos', 'is', 'near', '.', 'Best', 'A/C', 'that', 'I', 'saw', 'in', 'India', '.']","{'neg': 0.035, 'neu': 0.681, 'pos': 0.284, 'compound': 0.9397}",0.9397,Positive,0.284,0.035,0.681
35,35,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jun-23,Very good,8.0,Osm,['Osm'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
36,36,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,Good,8.0,"Beds are confortable, price quality is good. Clean space, food was good. Big room.","['Beds', 'are', 'confortable', ',', 'price', 'quality', 'is', 'good', '.', 'Clean', 'space', ',', 'food', 'was', 'good', '.', 'Big', 'room', '.']","{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.8176}",0.8176,Positive,0.436,0.0,0.564
37,37,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,"Great value, good overall experience",9.0,Helpful travel desk at reception!,"['Helpful', 'travel', 'desk', 'at', 'reception', '!']","{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4753}",0.4753,Positive,0.436,0.0,0.564
38,38,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jun-23,"Well connected, close to the Railway station, and professional staff",8.0,"There is confusion regarding the location of the hotel when one searches on Google Maps. But, the actual location of the hotel is well connected to the road. So, please make sure to identify the right location before checking-in. :D","['There', 'is', 'confusion', 'regarding', 'the', 'location', 'of', 'the', 'hotel', 'when', 'one', 'searches', 'on', 'Google', 'Maps', '.', 'But', ',', 'the', 'actual', 'location', 'of', 'the', 'hotel', 'is', 'well', 'connected', 'to', 'the', 'road', '.', 'So', ',', 'please', 'make', 'sure', 'to', 'identify', 'the', 'right', 'location', 'before', 'checking-in', '.', ':', 'D']","{'neg': 0.031, 'neu': 0.679, 'pos': 0.29, 'compound': 0.9364}",0.9364,Positive,0.29,0.031,0.679
39,39,Hotel Mannat international by Mannat,"Paharganj, New Delhi",Jul-23,Superb,9.0,Very helpful and friendly staff. Spacious and clean rooms. 24 hour check in so checked in at 7am!,"['Very', 'helpful', 'and', 'friendly', 'staff', '.', 'Spacious', 'and', 'clean', 'rooms', '.', '24', 'hour', 'check', 'in', 'so', 'checked', 'in', 'at', '7am', '!']","{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.8607}",0.8607,Positive,0.389,0.0,0.611
40,40,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jan-22,wonderful,10.0,"The hotel is close to many touristic places; the hotel team is amazing, they are really helpfull and specially Shikha, who is always with a smile in her face and ready to help you to know more about India and dishes.","['The', 'hotel', 'is', 'close', 'to', 'many', 'touristic', 'places', ';', 'the', 'hotel', 'team', 'is', 'amazing', ',', 'they', 'are', 'really', 'helpfull', 'and', 'specially', 'Shikha', ',', 'who', 'is', 'always', 'with', 'a', 'smile', 'in', 'her', 'face', 'and', 'ready', 'to', 'help', 'you', 'to', 'know', 'more', 'about', 'India', 'and', 'dishes', '.']","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.8885}",0.8885,Positive,0.242,0.0,0.758
41,41,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,We enjoyed the stay.,9.0,Excellent breakfast. Location is good.,"['Excellent', 'breakfast', '.', 'Location', 'is', 'good', '.']","{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.765}",0.765,Positive,0.688,0.0,0.312
42,42,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jun-23,Good,7.0, · Parking and room both are not good,"['·', 'Parking', 'and', 'room', 'both', 'are', 'not', 'good']","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}",-0.3412,Negative,0.0,0.286,0.714
43,43,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,"Overall a comfortable stay, which could have been better with good TV and cable",8.0,Breakfast was of a very high quality with a lot to choose from. Thoroughly enjo6,"['Breakfast', 'was', 'of', 'a', 'very', 'high', 'quality', 'with', 'a', 'lot', 'to', 'choose', 'from', '.', 'Thoroughly', 'enjo6']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
44,44,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jun-23,Superb,9.0,Comfort,['Comfort'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",0.3612,Positive,1.0,0.0,0.0
45,45,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Superb,9.0,Good,['Good'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive,1.0,0.0,0.0
46,46,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Superb,9.0,Please provide more Intercontinental Breakfast,"['Please', 'provide', 'more', 'Intercontinental', 'Breakfast']","{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,Positive,0.365,0.0,0.635
47,47,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,My stay was very comfortable and enjoyable,8.0,We didn’t have breakfast,"['We', 'didn', '’', 't', 'have', 'breakfast']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,0.0,0.0,1.0
48,48,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Ok,7.0,Ok,['Ok'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,Positive,1.0,0.0,0.0
49,49,"Holiday Inn New Delhi Mayur Vihar Noida, an IHG Hotel","Mayur Vihar Phase 1, New Delhi",Jul-23,Very good,8.0,Nice hotel.,"['Nice', 'hotel', '.']","{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}",0.4215,Positive,0.737,0.0,0.263
50,50,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Jan-23,Good value of money,10.0,The hotel staff is very helpful and courteous - they are always available to help answer. Rooms were hygienic and clean. The staff was very professional.,"['The', 'hotel', 'staff', 'is', 'very', 'helpful', 'and', 'courteous', '-', 'they', 'are', 'always', 'available', 'to', 'help', 'answer', '.', 'Rooms', 'were', 'hygienic', 'and', 'clean', '.', 'The', 'staff', 'was', 'very', 'professional', '.']","{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.9013}",0.9013,Positive,0.365,0.0,0.635
51,51,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Clean hotel,9.0,Hotel has for me a good value for money. Staff was friendly and competent. Room are spacious enough and every days they clean the room..,"['Hotel', 'has', 'for', 'me', 'a', 'good', 'value', 'for', 'money', '.', 'Staff', 'was', 'friendly', 'and', 'competent', '.', 'Room', 'are', 'spacious', 'enough', 'and', 'every', 'days', 'they', 'clean', 'the', 'room', '..']","{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.91}",0.91,Positive,0.415,0.0,0.585
52,52,"Airport Hotel Grand, New Delhi","Mahipalpur, New Delhi",Aug-23,Wonderful hotel near airport,9.0,"Wonderful hotel nice location close to airport.. I thank management and staffs for their attentive, friendly and outstanding service.. All rooms are air conditioned and well equipped.. We greatly appreciate the hospitality and excellent service..","['Wonderful', 'hotel', 'nice', 'location', 'close', 'to', 'airport', '..', 'I', 'thank', 'management', 'and', 'staffs', 'for', 'their', 'attentive', ',', 'friendly', 'and', 'outstanding', 'service', '..', 'All', 'rooms', 'are', 'air', 'conditioned', 'and', 'well', 'equipped', '..', 'We', 'greatly', 'appreciate', 'the', 'hospitality', 'and', 'excellent', 'service', '..']","{'neg': 0.0, 'neu': 0.51, 'pos': 0.49, 'compound': 0.975}",0.975,Positive,0.49,0.0,0.51
